type_chaussures;prix;adresse;image_lien
Chaussures homme;Prix sur demande;Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_5760772_uploaded_image1_1770330772.jpg
Chaussures homme;Prix sur demande;Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_5760772_uploaded_image1_1770330772.jpg
Sandales orthopédique;15 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5327825_uploaded_image1_1747239241.jpg
Baskets Nike;13 000 CFA;Mariste, Dakar, Sénégal;https://images.coinafrique.com/thumb_4303350_uploaded_image1_1689952243.jpg
Crocs sandales;6 000 CFA;Fass, Dakar, Sénégal;https://images.coinafrique.com/thumb_4880762_uploaded_image1_1722967578.jpg
Palladium pampa high;15 000 CFA;Mamelles, Dakar, Sénégal;
Chaussures  homme;25 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5769564_uploaded_image1_1770816182.jpg
Chaussures  homme;15 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5769564_uploaded_image1_1770816182.jpg
Chaussures  homme;20 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5769564_uploaded_image1_1770816182.jpg
Chaussures  homme;20 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5769564_uploaded_image1_1770816182.jpg
Chaussures  homme;25 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5769564_uploaded_image1_1770816182.jpg
Babouches en cuir;14 000 CFA;Medina, Dakar, Sénégal;https://images.coinafrique.com/thumb_3675600_uploaded_image1_1651344889.jpg
Sandales en cuir;13 000 CFA;Medina, Dakar, Sénégal;https://images.coinafrique.com/thumb_3007061_uploaded_image1_1615998760.jpg
Chaussures  homme;23 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures  homme;23 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures  homme;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures  homme;23 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures  homme;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures  homme;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Nike P6000;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5365720_uploaded_image1_1749418139.jpg
Chaussures  homme;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures  homme;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures  homme;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures  homme;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures  homme;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures  homme;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures  homme;20 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures Hermès;140 000 CFA;Medina, Dakar, Sénégal;https://images.coinafrique.com/thumb_4201911_uploaded_image1_1683200169.jpg
Chaussures homme;15 000 CFA;Medina, Dakar, Sénégal;https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
Chaussures homme;22 500 CFA;Fass, Dakar, Sénégal;https://images.coinafrique.com/thumb_5749905_uploaded_image1_1769782261.jpg
