type_chaussures;prix;adresse;image_lien
Chaussures homme;6 000 CFA;Mbour, Sénégal;https://images.coinafrique.com/thumb_5452284_uploaded_image1_1753992898.jpg
Chaussures hommes;15 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5769564_uploaded_image1_1770816182.jpg
Chaussures hommes;14 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5769564_uploaded_image1_1770816182.jpg
Chaussures Adidas;17 990 CFA;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_4724948_uploaded_image1_1714789432.jpg
Baskets Dior CD;25 000 CFA;Yoff, Dakar, Sénégal;
Baskets Nike Air Force One;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_4356864_uploaded_image1_1693433832.jpg
Sandales orthopédiques Birkenstock;15 000 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;https://images.coinafrique.com/thumb_5085829_uploaded_image1_1733870021.jpg
Chaussures homme;8 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5769564_uploaded_image1_1770816182.jpg
Chaussures Adidas;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_5656549_uploaded_image1_1764883907.jpg
Sandales orthopédique;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_5457756_uploaded_image1_1754291875.jpg
Chaussures  hommes;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Sandales orthopédique;12 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5457756_uploaded_image1_1754291875.jpg
Chaussures Adidas;20 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5656549_uploaded_image1_1764883907.jpg
Chaussures hommes;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Sandales;15 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5627951_uploaded_image1_1763472221.jpg
Chaussures homme;20 000 CFA;Pikine, Sénégal;https://images.coinafrique.com/thumb_5462501_uploaded_image1_1754497073.jpg
Chaussures homme;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures homme;30 000 CFA;Dieuppeul-Derklé, Dakar, Sénégal;https://images.coinafrique.com/thumb_5465868_uploaded_image1_1754663616.jpg
Crocs homme;5 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4823955_uploaded_image1_1720017128.jpg
Baskets Asic Gel Kayano14;27 000 CFA;Dakar, Sénégal;
Chaussures homme;13 500 CFA;HLM, Dakar, Sénégal;https://images.coinafrique.com/thumb_5470302_uploaded_image1_1754914296.jpg
Baskets Air Force;12 000 CFA;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_4847357_uploaded_image1_1721217800.jpg
Chaussures Balance Cecuhri;25 000 CFA;Fass, Dakar, Sénégal;https://images.coinafrique.com/thumb_5426236_uploaded_image1_1752670965.jpg
Chaussures Balance Cecuhri cD Dior;20 000 CFA;Fass, Dakar, Sénégal;
Chaussures Balance cecuhri;25 000 CFA;Fass, Dakar, Sénégal;https://images.coinafrique.com/thumb_5426236_uploaded_image1_1752670965.jpg
Chaussures Campus;15 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5473575_uploaded_image1_1755086920.jpg
Chaussures Adidas;15 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5656549_uploaded_image1_1764883907.jpg
Chaussures Burberry;18 000 CFA;Dakar, Sénégal;
Sandales homme;3 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5465465_uploaded_image1_1754649693.jpg
Baskets Dior B22;27 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5481393_uploaded_image1_1755545600.jpg
Baskets Dior B22;27 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5481393_uploaded_image1_1755545600.jpg
Baskets Dior B22;27 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5481393_uploaded_image1_1755545600.jpg
Sandales orthopédiques en cuir;15 000 CFA;Sacré-Coeur, Dakar, Sénégal;https://images.coinafrique.com/thumb_3322572_uploaded_image1_1631057121.jpg
Chaussures Timberland;30 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5487164_uploaded_image1_1755817473.jpg
Timberland homme;Prix sur demande;Mbao, Dakar, Sénégal;https://images.coinafrique.com/thumb_3707758_uploaded_image1_1653300330.jpg
Chaussures homme;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Baskets Nike Air Max;12 000 CFA;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_3622588_uploaded_image1_1648162610.jpg
Chaussures Luis Vuitton;8 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_2243179_uploaded_image1_1591542404.jpg
Chaussures homme;15 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5716365_uploaded_image1_1768211528.jpg
Crocs;10 000 CFA;Ngor, Dakar, Sénégal;https://images.coinafrique.com/thumb_5703227_uploaded_image1_1767565385.jpg
Chaussures Adidas;11 000 CFA;Diamalaye 1, Dakar, Sénégal;https://images.coinafrique.com/thumb_4741007_uploaded_image1_1715602050.jpg
Sandales femme;4 000 CFA;Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_2873652_uploaded_image1_1609951508.jpg
Chaussures Nike sb;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4875947_uploaded_image1_1722725081.jpg
Chaussures Nike sb;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4875947_uploaded_image1_1722725081.jpg
Chaussures Luis vuitton s4;25 000 CFA;Dakar, Sénégal;
Chaussures Berluti;15 000 CFA;Diamalaye 1, Dakar, Sénégal;https://images.coinafrique.com/thumb_5504924_uploaded_image1_1756823656.jpg
Chaussures Unisexe;15 000 CFA;Dakar, Sénégal;
Chaussures homme en  cuir;15 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_4855187_uploaded_image1_1721654881.jpg
Chaussures Timberland;30 000 CFA;Rufisque, Sénégal;https://images.coinafrique.com/thumb_3632790_uploaded_image1_1648830343.jpg
Chaussures homme;30 000 CFA;Rufisque, Sénégal;https://images.coinafrique.com/thumb_5684967_uploaded_image1_1766411263.jpg
Chaussures homme;Prix sur demande;Dakar, Sénégal;
Chaussures homme;25 000 CFA;Mariste, Dakar, Sénégal;https://images.coinafrique.com/thumb_5760425_uploaded_image1_1770321277.jpg
Chaussures Berluti;15 000 CFA;Diamalaye 1, Dakar, Sénégal;https://images.coinafrique.com/thumb_5504924_uploaded_image1_1756823656.jpg
Chaussures homme;15 000 CFA;Diamalaye 1, Dakar, Sénégal;https://images.coinafrique.com/thumb_5756505_uploaded_image1_1770135001.jpg
Baskets Jordan One Dunk Lowl;Prix sur demande;Dakar, Sénégal;
Chaussures homme;Prix sur demande;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures homme;Prix sur demande;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_5747868_uploaded_image1_1769685507.jpg
Chaussures Jordan;Prix sur demande;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_4409325_uploaded_image2_1696852222.jpeg
Baskets Louis Vuitton;25 000 CFA;Mbao, Dakar, Sénégal;https://images.coinafrique.com/thumb_3522448_uploaded_image1_1642063845.jpg
Chaussures Timberland;32 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5487164_uploaded_image1_1755817473.jpg
Chaussures homme;35 000 CFA;Yoff, Dakar, Sénégal;https://images.coinafrique.com/thumb_5760772_uploaded_image1_1770330772.jpg
Baskets Nike Air Max Plus;10 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_2873272_uploaded_image1_1609942408.jpg
Crocs homme;10 000 CFA;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_4847360_uploaded_image1_1721217902.jpg
Crocs homme;10 000 CFA;Parcelle Assainies, Dakar, Sénégal;https://images.coinafrique.com/thumb_4847360_uploaded_image1_1721217902.jpg
New Balance;27 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771479_uploaded_image1_1770902639.jpg
Chaussures Nike shox;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5560200_uploaded_image1_1759705337.jpg
Baskets Air force montante;18 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_2054999_uploaded_image1_1588599185.jpg
Nike Air Max;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5658154_uploaded_image1_1764971268.jpg
Baskets Asic;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5588722_uploaded_image1_1761293983.jpg
Baskets Nike Air force 1;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5454125_uploaded_image1_1754072625.jpg
Baskets New Balance 740;24 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5675111_uploaded_image1_1765885381.jpg
Baskets Nike TN;18 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5550746_uploaded_image1_1759249989.jpg
Baskets Adidas Adizero;27 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5550760_uploaded_image1_1759250198.jpg
Baskets Adidas campus;17 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5153222_uploaded_image1_1737841616.jpg
Nike shox R4;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5670082_uploaded_image1_1765572126.jpg
Chaussures Balenciaga;25 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_2871839_uploaded_image1_1609890241.jpg
New Balance;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771479_uploaded_image1_1770902639.jpg
New balance 1906;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5697822_uploaded_image1_1767207853.jpg
Baskets Adidas adizero;27 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5550760_uploaded_image1_1759250198.jpg
Baskets Adidas adizero;27 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5550760_uploaded_image1_1759250198.jpg
Baskets New Balance fresh foam;25 000 CFA;Dakar, Sénégal;
Baskets New Balance fresh foam;25 000 CFA;Dakar, Sénégal;
Baskets Asic 1130;25 000 CFA;Dakar, Sénégal;
Baskets Air Max 95;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5567806_uploaded_image1_1760100010.jpg
Baskets Nike TN;17 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5550746_uploaded_image1_1759249989.jpg
Baskets Jordan 4 RM;25 000 CFA;Dakar, Sénégal;
Balanciaga 3XL;27 000 CFA;Dakar, Sénégal;
Baskets Vans knu scool;20 000 CFA;Dakar, Sénégal;
Baskets Yeezy 700 v2;20 000 CFA;Dakar, Sénégal;
Baskets  Reebok;22 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_3848591_uploaded_image1_1661551759.jpg
Baskets Louis Vuitton;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5552643_uploaded_image1_1759323436.jpg
Baskets Crampon phantom;25 000 CFA;Dakar, Sénégal;
Chaussures TN full Black;17 000 CFA;Dakar, Sénégal;
Chaussures Nike zoom running;15 000 CFA;Dakar, Sénégal;
Baskets Adidas adistar;18 000 CFA;Dakar, Sénégal;
Baskets New Balance 1000;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5247024_uploaded_image1_1742754677.jpg
Baskets Adidas superstar;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_2505348_uploaded_image1_1596384402.jpg
Baskets Adidas superstar;25 000 CFA;Dakar, Sénégal;
Sandales homme;10 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5385859_uploaded_image1_1750532912.jpg
Baskets New Balance;25 000 CFA;Fass, Dakar, Sénégal;
Baskets All Star;15 000 CFA;Dakar, Sénégal;
Bottes homme;28 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_1688725_uploaded_image1_1582368268.71.png
Chaussures homme;30 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Chaussures bouts;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_2157579_uploaded_image1_1590156922.jpg
Mocassins homme;20 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5323164_uploaded_image1_1747019335.jpg
Chaussures homme;20 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
Baskets Adidas;25 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5686382_uploaded_image1_1766491684.jpg
Chaussures hommes;15 000 CFA;Diamalaye 1, Dakar, Sénégal;https://images.coinafrique.com/thumb_5756505_uploaded_image1_1770135001.jpg
Baskets New Balance;16 900 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5675114_uploaded_image1_1765885442.jpg
Baskets TN;16 900 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5567803_uploaded_image1_1760099855.jpg
