web_scraper_order,web_scraper_start_url,container_link,type_habits,prix,adresse,image_lien
"1771104543-187","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/bassin-riche-5334139","Bassin riche","5 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5334146_uploaded_image1_1747583668.jpg"
"1771104546-188","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/bassin-riche-5334137","Bassin riche","5 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5334146_uploaded_image1_1747583668.jpg"
"1771104548-189","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/bassin-riche-5334143","Bassin riche","5 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5334146_uploaded_image1_1747583668.jpg"
"1771104551-190","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/tableau-art-5321522","Tableau  Art","10 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5321522_uploaded_image1_1746889876.jpg"
"1771104553-191","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/bassin-riche-5334146","Bassin riche","5 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5334146_uploaded_image1_1747583668.jpg"
"1771104555-192","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/sous-vetements-5358863","Sous vêtements","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2805637_uploaded_image1_1606995436.jpg"
"1771104558-193","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5358869","T-shirt coton","5 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg"
"1771104560-194","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/polo-lacoste-5335709","Polo Lacoste","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5326067_uploaded_image1_1747152167.jpg"
"1771104563-195","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5335705","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104565-196","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/chemise-coton-5335724","Chemise coton","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg"
"1771104568-197","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/cargo-5335721","Cargo","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5498127_uploaded_image1_1756460300.jpg"
"1771104570-198","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/polo-lacoste-5326067","Polo Lacoste","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5326067_uploaded_image1_1747152167.jpg"
"1771104573-199","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5326083","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771104575-200","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5326080","T-shirt coton","6 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg"
"1771104578-201","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/getzner-super-anium-gold-original-5326094","Getzner Super anium gold original","12 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5326094_uploaded_image1_1747153147.jpg"
"1771104581-202","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5348287","Ensemble homme","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771104583-203","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5348285","Ensemble homme","16 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771104586-204","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5348292","T-shirt coton","6 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg"
"1771105051-205","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/vetement-enfants-5344831","Vetement enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344831_uploaded_image1_1748193541.jpg"
"1771105053-206","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5344841","Lacoste homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771105056-207","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-coton-5344842","Lacoste coton","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771105058-208","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/kaki-homme-5344854","Kaki homme","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg"
"1771105061-209","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5352588","Ensemble  homme","13 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771105063-210","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/jogging-5352592","Jogging","7 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5352592_uploaded_image1_1748628052.jpg"
"1771105066-211","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5339051","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771105068-212","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5339045","Ensemble homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg"
"1771105071-213","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-coton-5339058","Lacoste coton","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771105073-214","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-5339069","Pantalon","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5716402_uploaded_image1_1768212731.jpg"
"1771105076-215","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/chemise-5352610","Chemise","6 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5757249_uploaded_image1_1770165657.jpg"
"1771105078-216","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-5352605","Ensemble","13 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739067_uploaded_image1_1769256383.jpg"
"1771105082-217","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-5339063","Lacoste","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771105084-218","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/jeans-5352603","Jeans","9 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5702153_uploaded_image1_1767517880.jpg"
"1771105087-219","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/getzner-super-manium-gold-original-5329829","Getzner Super Manium gold original","12 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5329829_uploaded_image1_1747328462.jpg"
"1771105090-220","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/chemise-homme-5339081","Chemise homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5715576_uploaded_image1_1768156314.jpg"
"1771105092-221","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5329857","Lacoste homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771105095-222","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5329860","T-shirt coton","5 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg"
"1771105097-223","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/babouche-hommes-5348408","Babouche hommes","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5348408_uploaded_image1_1748372963.jpg"
"1771105099-224","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/jeans-homme-5348424","Jeans homme","7 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5702153_uploaded_image1_1767517880.jpg"
"1771105102-225","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/cargo-5348426","Cargo","7 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5758901_uploaded_image1_1770244788.jpg"
"1771105104-226","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5348419","Ensemble homme","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771105107-227","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/jean-homme-5330130","Jean homme","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5330130_uploaded_image1_1747337463.jpg"
"1771105109-228","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/culotte-5330133","Culotte","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5330133_uploaded_image1_1747337550.jpg"
"1771105111-229","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/kaki-5330135","Kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg"
"1771105114-230","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/sous-vetements-coton-5342579","Sous-vêtements coton","4 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3040054_uploaded_image1_1617570705.jpg"
"1771105116-231","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5342589","Lacoste homme","6 500 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg"
"1771105119-232","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5355482","Ensemble homme","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771105121-233","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5355495","Ensemble homme","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771105123-234","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-5355513","Ensemble","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739067_uploaded_image1_1769256383.jpg"
"1771105126-235","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-coton-5362512","Lacoste coton","6 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5584603_uploaded_image1_1761052072.jpg"
"1771105128-236","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5362515","T-shirt coton","4 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg"
"1771105131-237","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5362519","Ensemble homme","13 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771105138-238","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5362523","T-shirt coton","4 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg"
"1771105141-239","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5362524","T-shirt coton","4 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg"
"1771105143-240","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/calsson-coton-5362521","Calsson coton","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5362521_uploaded_image1_1749164209.jpg"
"1771105171-241","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5357415","T-shirt coton","5 000 CFA","Dakar, Sénégal",""
"1771105173-242","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/cargo-homme-5357414","Cargo homme","7 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5359212_uploaded_image1_1748985772.jpg"
"1771105176-243","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5357423","Ensemble homme","13 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771105180-244","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5357430","T-shirt coton","5 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg"
"1771105183-245","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5357449","T-shirt coton","3 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg"
"1771105185-246","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5357457","Ensemble homme","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771105190-247","https://sn.coinafrique.com/categorie/vetements-homme?page=5","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-5357461","Ensemble","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739067_uploaded_image1_1769256383.jpg"
"1771105195-248","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-5357459","Lacoste","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5748678_uploaded_image1_1769718508.jpg"
"1771105197-249","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5357466","Ensemble homme","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771105202-250","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5357470","Ensemble homme","14 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771105204-251","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5351554","Ensemble homme","13 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771105207-252","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5351562","Ensemble homme","13 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771105209-253","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-5344887","Costume africain","70 000 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344920_uploaded_image1_1748197678.jpg"
"1771105212-254","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-5344903","Costume africain","70 000 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344920_uploaded_image1_1748197678.jpg"
"1771105214-255","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-5344910","Costume africain","70 000 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344920_uploaded_image1_1748197678.jpg"
"1771105217-256","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-5344920","Costume africain","70 000 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344920_uploaded_image1_1748197678.jpg"
"1771105219-257","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-jean-5369213","Pantalon Jean","15 000 CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_5369272_uploaded_image1_1749637388.jpg"
"1771105222-258","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-jean-5369272","Pantalon Jean","15 000 CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_5369272_uploaded_image1_1749637388.jpg"
"1771105225-259","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/vetement-homme-5369345","Vêtement  homme","8 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4590100_uploaded_image1_1707744155.jpg"
"1771105227-260","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-3-pieces-5369347","Ensemble homme 3 piéces","12 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5369347_uploaded_image1_1749639509.jpg"
"1771105230-261","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/chemise-5333594","Chemise","18 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5333594_uploaded_image1_1747550498.jpg"
"1771105232-262","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/souvet-ment-5328829","Souve't ment","1 500 CFA","Colobane, Dakar, Sénégal",""
"1771105235-263","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-lacoste-kaki-5335976","Ensemble Lacoste  - Kaki","13 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5669734_uploaded_image1_1765555257.jpg"
"1771105240-264","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/short-homme-5335983","Short homme","6 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5335983_uploaded_image1_1747682531.jpg"
"1771105243-265","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/calecons-homme-5379374","Caleçons homme","600 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5379374_uploaded_image1_1750189453.jpg"
"1771105245-266","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/dialaba-5340703","Dialaba","25 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5340703_uploaded_image1_1747926660.jpg"
"1771105248-267","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/chemise-el-hadji-bouton-dore-5388857","Chemise El-hadji bouton doré","20 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1771105250-268","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/abaya-languette-5388860","Abaya languette","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5388860_uploaded_image1_1750707013.jpg"
"1771105252-269","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/abaya-simple-5388869","Abaya simple","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5716402_uploaded_image1_1768212731.jpg"
"1771105255-270","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/vetements-pour-homme-5390008","Vêtements pour homme","8 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4036356_uploaded_image1_1672943814.jpg"
"1771105257-271","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/pack-de-3-t-shirts-en-coton-3-debardeurs-3-boxeurs-5390305","Pack de 3 t-shirts en coton + 3 débardeurs +3 boxeurs","10 500 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5390305_uploaded_image1_1750787966.jpg"
"1771105261-272","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/costume-africaine-5392630","Costume africaine","20 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5392633_uploaded_image1_1750904042.jpg"
"1771105263-273","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/costume-africaine-5392631","Costume africaine","20 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5392633_uploaded_image1_1750904042.jpg"
"1771105266-274","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/costume-africaine-5392632","Costume africaine","20 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5392633_uploaded_image1_1750904042.jpg"
"1771105269-275","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/costume-africaine-5392633","Costume africaine","20 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5392633_uploaded_image1_1750904042.jpg"
"1771105272-276","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/vetement-homme-5394599","Vêtement homme","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5127469_uploaded_image1_1736445621.jpg"
"1771105274-277","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/bas-nike-tech-5396366","Bas Nike Tech","10 000 CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_5396366_uploaded_image1_1751130805.jpg"
"1771105277-278","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-5396595","T-shirts","5 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5396595_uploaded_image1_1751139172.jpg"
"1771106099-279","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/polo-5359195","Polo","8 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5554258_uploaded_image1_1759400484.jpg"
"1771106103-280","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/cargo-homme-5359212","Cargo homme","7 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5359212_uploaded_image1_1748985772.jpg"
"1771106106-281","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/bas-large-5359319","Bas large","7 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5674256_uploaded_image1_1765840156.jpg"
"1771106108-282","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5376209","Lacoste homme","6 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5748678_uploaded_image1_1769718508.jpg"
"1771106114-283","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5376211","T-shirt coton","6 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg"
"1771106117-284","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-unique-5381842","T-shirt unique","3 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg"
"1771106119-285","https://sn.coinafrique.com/categorie/vetements-homme?page=4","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-short-5359855","Ensemble short","9 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5588150_uploaded_image1_1761247547.jpg"
