web_scraper_order,web_scraper_start_url,container_link,type_habits,prix,adresse,image_lien
"1771103901-33","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/jalaba-homme-5228721","Jalaba homme","15 000 CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_5228721_uploaded_image1_1741792647.jpg"
"1771103904-34","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5229245","Ensemble homme","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771103932-35","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/pull-pour-homme-5186517","Pull pour homme","12 500 CFA","Fass, Dakar, Sénégal",""
"1771103934-36","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/calecon-homme-5231448","Caleçon  homme","1 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5231448_uploaded_image1_1741937565.jpg"
"1771103937-37","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/chemise-el-hadji-5232160","Chemise El Hadji","13 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5232160_uploaded_image1_1741963646.jpg"
"1771103939-38","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/djialabe-5232167","Djialabé","10 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5232167_uploaded_image1_1741963999.jpg"
"1771103942-39","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/jalaba-enfants-5232562","Jalaba enfants","5 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5232562_uploaded_image3_1741979905.jpeg"
"1771103946-40","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-5233635","T-shirts","1 800 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5233635_uploaded_image1_1742051112.jpg"
"1771103949-41","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/manchons-de-compression-5234946","Manchons de compression","2 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5234946_uploaded_image1_1742143585.jpg"
"1771103951-42","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-5237808","T-shirts","500 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5276220_uploaded_image1_1744317076.jpg"
"1771103954-43","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5238971","Ensemble homme","12 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg"
"1771103956-44","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-cargo-5245109","Pantalon cargo","6 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5758901_uploaded_image1_1770244788.jpg"
"1771103959-45","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/djialabe-5246077","Djialabé","15 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5246077_uploaded_image1_1742693298.jpg"
"1771103961-46","https://sn.coinafrique.com/categorie/vetements-homme?page=7","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-costume-5246483","Ensemble costume","55 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5246483_uploaded_image1_1742728129.jpg"
